Country,Year,Sex,DTHS,AGE,W,POP,Mtot,Qtot,QBEXT,QBINT,QCALI,QCBON,QCCNS,QCCON,QCEND,QCEXT,QCGNU,QCONG,QCRSP,QCRST,QCSKN,QDEXT,QDINT,QEARS,QEEXT,QEINT,QEYES,QGEXT,QGINT,QHEXT,QHINT,QIBAC,QINFT,QISEQ,QIVRL,QMEXT,QMINT,QNEXT,QNINT,QPBPN,QRESP,QSKIN,QXTRN,QEXTRIN,QINTRIN,QSUM,EISUM,NRAD,Radix,Dth,Cum,EDth,CumE,IDth,CumI,EProb,EF,ES,EDEN,EHAZ,IProb,IF,IS,IDEN,IHAZ
2450,2007,1,16293,0,1,2201398,0.007401206,0.007373918,3.62066E-06,2.67023E-05,1.81033E-06,0,2.71549E-06,4.52582E-07,9.05164E-07,4.52582E-07,9.05164E-07,0.001387616,0,2.12714E-05,0,1.81033E-05,0.00016655,0,2.26291E-06,6.47192E-05,0,3.84695E-05,4.1185E-05,0.000119029,8.05596E-05,4.52582E-06,1.35775E-06,3.16807E-05,1.81033E-06,1.81033E-06,2.03662E-05,7.87493E-05,0.003684017,0.000176054,4.52582E-07,0.001395763,0,0.001874142,0.005499776,0.007373918,0.007373918,99262.6082,100000,737.3918018,737.3918018,187.4141933,187.4141933,549.9776085,549.9776085,0.76197169,0,1,0.002459595,0.002459595,0.259925364,0,1,0.021159059,0.021159059
2450,2007,1,2635,2.5,4,8495923,0.000310149,0.001239826,1.41157E-06,1.45862E-05,6.11679E-06,4.70522E-07,3.01134E-05,3.29366E-06,1.64683E-05,4.70522E-07,1.41157E-06,0.00013504,4.70522E-07,4.42291E-05,0,7.99888E-06,2.54082E-05,9.41044E-07,1.88209E-06,3.81123E-05,0,7.52836E-06,9.88097E-06,3.95239E-05,2.96429E-05,1.41157E-06,9.41044E-07,1.03515E-05,2.82313E-06,2.82313E-06,7.52836E-06,6.11679E-05,1.59978E-05,7.71656E-05,9.41044E-07,0.000643674,0,0.000861056,0.00037877,0.001239826,0.001239826,99139.53984,99262.6082,123.0683612,860.460163,85.47062654,272.8848198,37.59773462,587.5753431,0.765744083,0.002459595,0.997540405,0.001121703,0.001124469,0.256315638,0.021159059,0.978840941,0.001446482,0.00147775
2450,2007,1,1519,7,5,10254158,0.000148135,0.000740401,2.92456E-06,7.79883E-06,4.87427E-06,1.94971E-06,4.24061E-05,4.87427E-06,1.60851E-05,4.87427E-07,1.94971E-06,4.72804E-05,0,6.19032E-05,0,2.43713E-06,1.26731E-05,0,4.87427E-07,2.9733E-05,0,4.38684E-06,8.77368E-06,3.3145E-05,1.65725E-05,1.46228E-06,0,5.36169E-06,9.74853E-07,3.41199E-06,3.41199E-06,5.45918E-05,2.92456E-06,3.75318E-05,4.87427E-07,0.0003295,0,0.000477191,0.00026321,0.000740401,0.000740401,99066.13683,99139.53984,73.4030095,933.8631725,47.30845708,320.1932769,26.09455242,613.6698956,0.765832526,0.003581299,0.996418701,0.000620869,0.0006231,0.256254579,0.022605541,0.977394459,0.001003925,0.001027144
2450,2007,1,2066,12,5,10404938,0.00019856,0.000992305,3.36212E-06,9.60605E-06,2.88182E-06,8.16514E-06,2.83379E-05,1.00864E-05,6.24393E-06,1.92121E-06,3.36212E-06,4.65894E-05,0,6.86833E-05,0,1.92121E-06,1.44091E-05,0,1.92121E-06,2.0653E-05,4.80303E-07,3.36212E-06,7.68484E-06,3.98651E-05,1.53697E-05,3.36212E-06,9.60605E-07,2.88182E-06,1.44091E-06,9.12575E-06,1.20076E-05,7.92499E-05,3.84242E-06,4.70697E-05,1.44091E-06,0.000536018,0,0.000734383,0.000257923,0.000992305,0.000992305,98967.83298,99066.13683,98.303849,1032.167021,72.75246134,392.9457382,25.55138766,639.2212832,0.765922425,0.004202168,0.995797832,0.000954792,0.000958821,0.256181045,0.023609466,0.976390534,0.000983028,0.001006798
2450,2007,1,9559,17,5,11064959,0.000863898,0.004310183,2.70542E-06,1.48798E-05,6.31264E-06,3.15632E-05,2.16433E-05,1.53307E-05,3.60722E-06,6.31264E-06,6.31264E-06,5.09521E-05,1.80361E-06,9.06315E-05,1.80361E-06,5.41084E-06,1.93888E-05,0,3.60722E-06,4.10322E-05,0,5.86174E-06,2.02906E-05,0.000114078,1.53307E-05,2.70542E-06,9.01806E-07,1.12726E-05,1.30762E-05,1.44289E-05,8.11626E-06,0.000110471,2.70542E-06,5.23048E-05,1.35271E-06,0.003613989,0,0.003958478,0.000351704,0.004310183,0.004310183,98541.26351,98967.83298,426.5694643,1458.736486,391.7620386,784.7077769,34.80742569,674.0287089,0.765948097,0.00515696,0.99484304,0.005141425,0.005168077,0.256177329,0.024592494,0.975407506,0.001339132,0.001372894
2450,2007,1,15763,22,5,10949364,0.001439627,0.007172321,3.64008E-06,2.13855E-05,1.68354E-05,3.27607E-05,3.00307E-05,1.77454E-05,2.73006E-06,1.04652E-05,2.54806E-05,5.82413E-05,3.18507E-06,0.000134683,7.73517E-06,1.50153E-05,2.59356E-05,0,1.50153E-05,7.68967E-05,0,2.09305E-05,4.04959E-05,0.0002316,3.86758E-05,5.46012E-06,2.73006E-06,4.00409E-05,3.86758E-05,2.18405E-05,1.50153E-05,0.000139233,1.82004E-06,8.82719E-05,9.1002E-07,0.005988841,0,0.006622669,0.000549652,0.007172321,0.007172321,97834.49391,98541.26351,706.7696042,2165.50609,652.6062037,1437.313981,54.16340049,728.1921094,0.76528815,0.010298385,0.989701615,0.008564704,0.008653824,0.256933053,0.025931625,0.974068375,0.002083806,0.002139281
2450,2007,1,15112,27,5,10721380,0.00140952,0.007022853,4.18248E-06,3.11363E-05,4.18248E-05,1.76594E-05,4.36837E-05,1.9983E-05,2.78832E-06,3.11363E-05,2.09124E-05,6.22725E-05,4.6472E-06,0.000153358,1.81241E-05,4.92604E-05,5.06545E-05,4.6472E-07,3.76423E-05,0.000100844,4.6472E-07,3.02068E-05,6.92433E-05,0.000396406,3.57835E-05,9.75913E-06,9.29441E-07,0.000127798,7.57494E-05,2.74185E-05,1.34769E-05,0.000112927,1.39416E-06,0.000110603,3.71776E-06,0.0053164,0,0.006335067,0.000687786,0.007022853,0.007022853,97147.41663,97834.49391,687.0772774,2852.583367,619.7880787,2057.102059,67.28919869,795.4813081,0.764146183,0.018863089,0.981136911,0.008134004,0.008290386,0.258235549,0.028015431,0.971984569,0.002588789,0.002663406
2450,2007,1,14689,32,5,9809998,0.00149735,0.007458829,3.0467E-06,3.80837E-05,8.17531E-05,1.42179E-05,6.95663E-05,2.94514E-05,5.58562E-06,6.65196E-05,3.40215E-05,5.58562E-05,3.55448E-06,0.000183818,2.94514E-05,0.00012593,6.04262E-05,0,6.39807E-05,0.000152335,0,5.12861E-05,0.000108666,0.000720544,5.07783E-05,7.61675E-06,3.55448E-06,0.000230534,9.80022E-05,3.55448E-05,1.06634E-05,0.000127454,0,0.000134055,5.07783E-06,0.004857455,0,0.006530601,0.000928228,0.007458829,0.007458829,96422.81071,97147.41663,724.6059248,3577.189292,634.4309891,2691.533048,90.17493571,885.6562438,0.763170752,0.026997093,0.973002907,0.008326175,0.008557195,0.259369276,0.03060422,0.96939578,0.003469263,0.003578789
2450,2007,1,19764,37,5,10564508,0.001870792,0.009310417,4.7108E-06,5.13477E-05,0.000191729,1.50745E-05,9.89267E-05,4.00418E-05,4.23972E-06,0.000160638,5.41742E-05,5.60585E-05,8.00835E-06,0.000242606,4.56947E-05,0.000281706,0.000105993,9.42159E-07,7.77281E-05,0.000276995,0,8.57365E-05,0.000195498,0.001408057,9.13894E-05,1.13059E-05,2.3554E-06,0.00048427,0.000167704,3.67442E-05,3.20334E-05,0.000167233,4.7108E-07,0.000187961,1.27191E-05,0.004710325,0,0.007800136,0.001510281,0.009310417,0.009310417,95525.07416,96422.81071,897.7365525,4474.925845,752.1110017,3443.64405,145.6255509,1031.281795,0.762326212,0.035323268,0.964676732,0.00987059,0.010232018,0.260383201,0.034073483,0.965926517,0.005602591,0.005800225
2450,2007,1,30357,42,5,10896333,0.002785983,0.013833565,5.01266E-06,7.29114E-05,0.000482582,1.00253E-05,0.000149468,4.23797E-05,8.65823E-06,0.000505367,0.000103443,6.28861E-05,8.65823E-06,0.000447494,8.93164E-05,0.000661671,0.000216456,4.55696E-07,0.000108456,0.000410126,0,0.000144456,0.000269316,0.002873164,0.000154025,1.18481E-05,9.11392E-06,0.000836658,0.000288456,5.96962E-05,3.09873E-05,0.000239696,9.11392E-07,0.000361823,1.54937E-05,0.005152555,0,0.011273921,0.002559645,0.013833565,0.013833565,94203.62179,95525.07416,1321.452369,5796.378214,1076.942109,4520.586159,244.5102598,1275.792054,0.761617048,0.045193858,0.954806142,0.014133624,0.014802611,0.261305786,0.039676074,0.960323926,0.009406941,0.009795592
